address,usd_seizable_now,tokens
0x7e5b7a5845a14e29ba0cc82f1f3e72535007de0f,15998.28,USDC:16000.0001
0x5cc687d0168859cbd422c4773a00cfcf160453fc,15901.48,USDT:0.4835;USDC.e:0.7955;ARB:175099.3200;DAI:0.1310
0x1371ec86d56e21136f6650685713cbfd12910172,15067.15,USDC:3.7253;WBTC:0.2047
0x256843ddd1345bbf2943ab33b11ccf68d80f769e,14720.10,WBTC:0.2000
0xd0b5177a4837c427ff72b4a15dd976ce1c547b01,11884.18,USDC:11885.4527
0xd0e8e096d70b8cbb704e972df7a82e536f74fb8c,4112.76,WBTC:0.0559
0x1b11b544fa42e1709599606bcaa0928fc8b21c06,3008.89,USDC:3009.2146
0x756bc95a8d0db3235c92fbdbe86809af63201706,2111.27,USDC:2111.4941
0x74a46eae0ef759312f21afc2447e2a4989e51770,2089.01,USDT:2089.6044
0x09ca728f4901cefb75610a21866ba8891bafed19,2047.78,USDC:2048.0029
0xc4591fd6eb7c1f5f5e5d986743d497715217a2a2,1992.83,WBTC:0.0271
0x225bc778ff20a3b50a06e9a2ffadf7ccd5d7728e,1729.47,ARB:19045.7331
0x06355362cd8ab65f6349535d0aac83dd911c3d54,1600.08,USDC.e:1600.3043
0xc797396e336c31e186d3fd40b57f6867a72d856f,1489.18,USDC:1489.3448
0x6a266b27ee1b16ab9986d071e89504ea2eea6b3e,1130.18,USDC:1130.3004
0x8dac55584dedd77aebecbe61de48e437c24103e4,916.90,USDC:917.0000
0x4920b5d6fd3e8f1df962840e622541c1130049bf,893.81,DAI:893.9207
0x46d91b492861b9e4636719c03861fa9631792179,705.80,USDT:5.8829;DAI:700.0074
0x40f85bffc940eda69e19217970291d9878940d93,538.61,USDC:538.6697
0x5d721a67ff915b9d5cd9b6d5a3ffe8c7d05daa0e,521.25,WBTC:0.0071
0x69654382c14f34631dabb83400fd95e735bcbc5d,356.52,USDC:356.5554
0x82223b4f95e91d76fb45a275b779a1073b999bea,301.55,USDC.e:143.3026;WBTC:0.0022
0x2643796cb6b4e715140f09c352ea26afff1a7d93,270.55,USDC.e:270.5927
0xe91336a081999b52e7c128f1ee52efb444d46a1e,262.39,USDT:262.4603
0xaeea10c04c66bebe2db03a8189d5a128eaa5daab,252.26,ARB:97.4971;WBTC:0.0033
0x3d914063165b8b4f25ddce8901beb8ba1b5e759e,245.20,USDC:245.2271
0x7d8ccf591b78a5d73b54298ddb130db580cd1e12,239.65,USDT:239.7186
0x61a1bc4da00d68166faa576b01b7e4cd6d638011,231.33,ARB:2547.5153
0x091ffe38e101e8ac10832e74f059d1b33aefae99,230.65,wstETH:0.0796
0x06f7dc8d1b9462cef6feb13368a7e3974b097f9f,225.00,ARB:2477.8217
0x36a7aa321b3c06e9ca3b6f75ef20576fe44a211d,199.94,USDT:200.0000
0x026acbef416ca9908c9d5951146467121dc1c222,178.30,USDT:178.3490
0x36387228cd932a5727666e5140f6f0311429e727,172.74,USDC:172.7595
0x2397a6621ba076e9d0afac4cc6eee8e5c0397603,146.19,USDC:37.1023;ARB:1201.3345
0x76aa86918e536aa6fa7edd5cefdc5d9744213a9a,136.01,ARB:1497.8586
0x5969a7e1b4a593e0ad13d9eeabb8895e056686ce,108.44,USDT:100.0000;ARB:93.2318
0xf862c0e523be3a8c97d3a587ed60e613613c9467,107.48,WBTC:0.0015
0x8117c9be202b0442efbc79bc81b07f39b148b770,105.44,USDC.e:105.4572
0x715a46ac4ad9dfeabaef7fd93abcd3ce58a9624c,95.72,USDC.e:95.7369
0x5f07a4a41e52a54088f51f5c3c0b22e59b5d03fe,94.30,USDC.e:94.3129
0x9a2a2b995cd4e17ef8ccf1991ef523c852c73103,93.59,USDC:93.6009
0x5ff57a5fb568248cc4b0d1c82e4c4615f750c887,92.49,USDC:92.4963
0x634eb86245c7cef997677ab5522157f3859c725b,92.07,USDC:92.0783
0x24c57552f96bb25d7f20e1d967e14aec9ef256bf,90.42,ARB:995.6999
0x300cc20b95e1958a0cd65d2d60d3fba720a0074c,89.40,USDC:89.4126
0x35fff1045c6c7669df8066e3b309f43700b9a76a,86.63,USDT:1.7257;USDC.e:84.9171
0x3aaafe57d82b6f4adac6040971170ce9417552e7,84.83,ARB:934.2410
0x36a282b6c5421b1a62f27aa9386a1ce1f820345a,81.65,USDC:81.6555
0x2684454e59081151d935d4023fbe0c473cd42dae,80.50,ARB:886.4913
0x9113eb1ac0eb21c78347ead2de999f1787b6dcb8,79.99,USDC.e:80.0000
0xa702af98217589751f5a7707056622038e280abb,79.65,USDC:79.6557
